source,amount
invented,658
invented,3771
invented,3834
invented,2580
invented,1011
invented,7625
invented,7217
invented,898
invented,2663
invented,3011
invented,3776
invented,8162
invented,2139
invented,1305
invented,5724
invented,7967
invented,5387
invented,9512
invented,2532
invented,1963
invented,737
invented,1336
invented,6690
invented,8995
invented,4358
invented,1872
invented,9948
invented,788
invented,187
invented,9031
invented,6706
invented,7482
invented,4314
invented,2370
invented,4423
invented,2688
invented,5971
invented,3943
invented,6792
invented,1274
invented,9046
invented,9008
invented,525
invented,6762
invented,1304
invented,7905
invented,5024
invented,3182
invented,7272
invented,1918
invented,3275
invented,6961
invented,5340
invented,8471
invented,4461
invented,4856
invented,1887
invented,3804
invented,9749
invented,2965
invented,6843
invented,5192
invented,1439
invented,2276
invented,7999
invented,6301
invented,1942
invented,4968
invented,6054
invented,2435
invented,2497
invented,4912
invented,6742
invented,7031
invented,2524
invented,1078
invented,9256
invented,2367
invented,7183
invented,3357
invented,4603
invented,5731
invented,2377
invented,2526
invented,3637
invented,4378
invented,6384
invented,6860
